tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct ; reduction
2000 ; 2 ; 10 ; custom ; 1 ; 2,053004026412964 ; - 6.254672314976327
2000 ; 2 ; 10 ; custom ; 1 ; 2,3266801834106445 ; - 6.407379705809026
2000 ; 2 ; 10 ; custom ; 1 ; 2,7633299827575684 ; - 6.613426503618667
2000 ; 2 ; 10 ; custom ; 1 ; 1,6947040557861328 ; - 5.785536159600998
2000 ; 2 ; 20 ; custom ; 1 ; 8,383957862854004 ; - 11.050137191319532
2000 ; 2 ; 20 ; custom ; 1 ; 7,174870014190674 ; - 9.793172190381261
2000 ; 2 ; 20 ; custom ; 1 ; 7,089557647705078 ; - 10.084872690963556
2000 ; 2 ; 20 ; custom ; 1 ; 5,753040075302124 ; - 9.73053892215569
2000 ; 2 ; 20 ; custom ; 1 ; 7,5827250480651855 ; - 10.346546995761656
2000 ; 2 ; 20 ; custom ; 1 ; 6,197977066040039 ; - 9.757923633641127
2000 ; 2 ; 20 ; custom ; 1 ; 5,820959091186523 ; - 9.20429034671988
2000 ; 2 ; 20 ; custom ; 1 ; 9,57879090309143 ; - 10.523690773067331
2000 ; 2 ; 20 ; custom ; 1 ; 10,649614095687866 ; - 11.17206982543641
2000 ; 2 ; 20 ; custom ; 1 ; 6,285414934158325 ; - 9.498878085265519
2000 ; 2 ; 20 ; custom ; 1 ; 6,042804956436157 ; - 9.553504614617111
2000 ; 2 ; 20 ; custom ; 1 ; 6,712881326675415 ; - 10.107312203643623
2000 ; 2 ; 20 ; custom ; 1 ; 5,1097681522369385 ; - 8.904963831379396
2000 ; 2 ; 20 ; custom ; 1 ; 10,212419986724854 ; - 11.24968820154652
2000 ; 2 ; 20 ; custom ; 1 ; 5,692023038864136 ; - 9.720837487537388
2000 ; 2 ; 20 ; custom ; 1 ; 7,792989253997803 ; - 10.079840319361278
2000 ; 2 ; 20 ; custom ; 1 ; 5,735962867736816 ; - 9.254178099276627
2000 ; 2 ; 20 ; custom ; 1 ; 6,242443799972534 ; - 9.466865969108122
2000 ; 2 ; 20 ; custom ; 1 ; 7,28937292098999 ; - 10.374064837905236
2000 ; 2 ; 20 ; custom ; 1 ; 8,441472053527832 ; - 10.319042871385843
2000 ; 2 ; 100 ; custom ; 1 ; 148,1589069366455 ; - 30.6580259222333
2000 ; 2 ; 100 ; custom ; 1 ; 215,00048208236694 ; - 34.39760538787728
2000 ; 2 ; 100 ; custom ; 1 ; 221,7995138168335 ; - 34.36254980079681
2000 ; 2 ; 100 ; custom ; 1 ; 128,9964120388031 ; - 29.226932668329177
2000 ; 2 ; 100 ; custom ; 1 ; 180,90554285049438 ; - 32.75043717212091
2000 ; 2 ; 100 ; custom ; 1 ; 150,761873960495 ; - 30.727091633466134
2000 ; 2 ; 100 ; custom ; 1 ; 150,84282398223877 ; - 30.970801098078365
2000 ; 2 ; 100 ; custom ; 1 ; 163,47895312309265 ; - 31.1100049776008
2000 ; 2 ; 100 ; custom ; 1 ; 196,60056328773499 ; - 33.84922616075886
2000 ; 2 ; 100 ; custom ; 1 ; 121,96654415130615 ; - 28.42210054753609
2000 ; 2 ; 100 ; custom ; 1 ; 189,6534469127655 ; - 32.570291117193335
2000 ; 2 ; 100 ; custom ; 1 ; 200,6832239627838 ; - 33.48292196459736
2000 ; 2 ; 100 ; custom ; 1 ; 184,1762979030609 ; - 32.91832669322709
2000 ; 2 ; 100 ; custom ; 1 ; 171,51342701911926 ; - 31.97109394467979
2000 ; 2 ; 100 ; custom ; 1 ; 211,42833304405212 ; - 34.36486149238832
